nohup: ignoring input
[NORMAL][1686488920][当前已经建立的索引文档6750][index.hpp : 119]
[NORMAL][1686488920][当前已经建立的索引文档6800][index.hpp : 119]
[NORMAL][1686488920][当前已经建立的索引文档6850][index.hpp : 119]
[NORMAL][1686488921][当前已经建立的索引文档6900][index.hpp : 119]
[NORMAL][1686488921][当前已经建立的索引文档6950][index.hpp : 119]
[NORMAL][1686488922][当前已经建立的索引文档7000][index.hpp : 119]
[NORMAL][1686488922][当前已经建立的索引文档7050][index.hpp : 119]
[NORMAL][1686488923][当前已经建立的索引文档7100][index.hpp : 119]
[NORMAL][1686488926][当前已经建立的索引文档7150][index.hpp : 119]
[NORMAL][1686488926][当前已经建立的索引文档7200][index.hpp : 119]
[NORMAL][1686488927][当前已经建立的索引文档7250][index.hpp : 119]
[NORMAL][1686488928][当前已经建立的索引文档7300][index.hpp : 119]
[NORMAL][1686488928][当前已经建立的索引文档7350][index.hpp : 119]
[NORMAL][1686488928][当前已经建立的索引文档7400][index.hpp : 119]
BuildIndex over--------------
[NORMAL][1686488934][建立正排和倒排成功][searcher.hpp : 43]
[NORMAL][1686488934][服务器启动成功...][http_server.cc : 29]
[NORMAL][1686489277][用户在搜索: boost][http_server.cc : 23]
[NORMAL][1686489279][用户在搜索: boost][http_server.cc : 23]
[NORMAL][1686489280][用户在搜索: boost][http_server.cc : 23]
[NORMAL][1686489282][用户在搜索: boost][http_server.cc : 23]
